region,date,value
fid001,5/7/2020,3567128
fid001,5/13/2020,3541922
fid001,5/5/2020,3272221
fid001,5/11/2020,3319102
fid001,2/18/2020,4617958
fid001,2/24/2020,4300523
fid001,2/25/2020,4549168
fid001,5/10/2020,3610422
fid001,2/19/2020,4546967
fid001,5/4/2020,3090323
fid001,4/23/2020,3358434
fid001,3/2/2020,4322479
fid001,3/16/2020,4514829
fid001,3/17/2020,4835105
fid001,3/3/2020,4771037
fid001,4/22/2020,3352551
fid001,4/20/2020,3454406
fid001,3/29/2020,4943921
fid001,3/15/2020,4397904
fid001,4/8/2020,4609935
fid001,4/9/2020,4702038
fid001,3/14/2020,4733132
fid001,4/21/2020,3421659
fid001,3/28/2020,4879410
fid001,4/19/2020,3218865
fid001,4/25/2020,4088817
fid001,4/30/2020,3246237
fid001,4/24/2020,3510339
fid001,3/5/2020,4615060
fid001,4/18/2020,3355235
fid001,3/7/2020,5023232
fid001,3/13/2020,4499960
fid001,4/26/2020,3321719
fid001,4/27/2020,3341301
fid001,3/6/2020,4761636
fid002,4/16/2020,1788499
fid002,4/2/2020,2055928
fid002,3/23/2020,1999832
fid002,3/22/2020,1903406
fid002,4/3/2020,2062752
fid002,4/17/2020,1690044
fid002,4/1/2020,2031161
fid002,3/8/2020,1983891
fid002,4/15/2020,1710453
fid002,3/20/2020,2025130
fid002,4/29/2020,1626549
fid002,3/21/2020,1970116
fid002,4/28/2020,1589553
fid002,4/14/2020,1812425
fid002,3/9/2020,1937988
fid002,3/31/2020,2016082
fid002,3/25/2020,2021050
fid002,4/4/2020,1836767
fid002,4/10/2020,2077836
fid002,3/19/2020,1945855
fid002,4/11/2020,1906630
fid002,3/18/2020,2072378
fid002,4/5/2020,1900405
fid002,3/24/2020,1954093
fid002,3/30/2020,2018919
fid002,3/26/2020,2087836
fid002,4/13/2020,1705559
fid002,4/7/2020,1898935
fid002,4/6/2020,1765319
fid002,4/12/2020,1976449
fid002,3/27/2020,2029465
fid002,2/14/2020,2083260
fid002,5/9/2020,1567207
fid002,5/21/2020,1642041
fid002,2/28/2020,1970444
fid002,5/20/2020,1646346
fid002,2/29/2020,1999941
fid002,2/1/2020,2026927
fid002,5/8/2020,1634451
fid002,2/15/2020,1872840
fid002,2/3/2020,1840571
fid002,2/17/2020,1696087
fid002,5/22/2020,1833303
fid002,5/23/2020,1580499
fid002,2/2/2020,1927315
fid002,5/27/2020,1673353
fid002,2/6/2020,1912256
fid002,2/12/2020,1842299
fid002,2/13/2020,1944666
fid002,2/7/2020,2026656
fid002,5/26/2020,1649091
fid002,5/24/2020,1612642
fid002,5/30/2020,1682687
fid002,2/11/2020,1867470
fid002,5/18/2020,1583224
fid002,2/5/2020,1902504
fid002,2/10/2020,1894274
fid002,5/19/2020,1604027
fid002,5/31/2020,1571849
fid002,5/25/2020,1473049
fid002,2/21/2020,1842271
fid002,5/28/2020,1651843
fid002,2/9/2020,1842285
fid002,5/14/2020,1611319
fid002,5/15/2020,1618729
fid002,5/1/2020,1490475
fid002,2/8/2020,1941499
fid002,2/20/2020,2404808
fid002,5/29/2020,1658522
fid002,2/22/2020,1918155
fid002,5/17/2020,1518680
fid002,5/3/2020,1543919
fid002,5/2/2020,1560043
fid002,5/16/2020,1619975
fid002,2/23/2020,1765347
fid002,5/12/2020,1540322
fid002,5/6/2020,1572466
fid002,2/27/2020,1957559
fid002,2/26/2020,1860610
fid002,5/7/2020,1636724
fid002,5/13/2020,1641873
fid002,5/5/2020,1634448
fid002,5/11/2020,1494181
fid002,2/18/2020,1934869
fid002,2/24/2020,1867914
fid002,2/25/2020,2043454
fid002,5/10/2020,1696235
fid002,2/19/2020,1982648
fid002,5/4/2020,1510046
fid002,4/23/2020,1665961
fid002,3/2/2020,2016651
fid002,3/16/2020,2106136
fid002,3/17/2020,1891168
fid002,3/3/2020,2013128
fid002,4/22/2020,1587991
fid002,4/20/2020,1546662
fid002,3/29/2020,1955445
fid002,3/15/2020,1860781
fid002,4/8/2020,1958965
fid002,4/9/2020,2051297
fid002,3/14/2020,1862254
fid002,4/21/2020,1606210
fid002,3/28/2020,1909301
fid002,4/19/2020,1658507
fid002,4/25/2020,1626996
fid002,4/30/2020,1501671
fid002,4/24/2020,1716025
fid002,3/5/2020,2141152
fid002,4/18/2020,1602440
fid002,3/7/2020,2126763
fid002,3/13/2020,1909113
fid002,4/26/2020,1485473
fid002,4/27/2020,1595570
fid002,3/6/2020,1997919
fid003,4/16/2020,628165
fid003,4/2/2020,726809
fid003,3/23/2020,745410
fid003,3/22/2020,665957
fid003,4/3/2020,765944
fid003,4/17/2020,581983
fid003,4/1/2020,769418
fid003,3/8/2020,714357
fid003,4/15/2020,596006
fid003,3/20/2020,712448
fid003,4/29/2020,541060
fid003,3/21/2020,669229
fid003,4/28/2020,566052
fid003,4/14/2020,647267
fid003,3/9/2020,724932
fid003,3/31/2020,700316
fid003,3/25/2020,757696
fid003,4/4/2020,698021
fid003,4/10/2020,732389
fid003,3/19/2020,724282
fid003,4/11/2020,688830
fid003,3/18/2020,770350
fid003,4/5/2020,723718
fid003,3/24/2020,711975
fid003,3/30/2020,781126
fid003,3/26/2020,782815
fid003,4/13/2020,660422
fid003,4/7/2020,712742
fid003,4/6/2020,742347
fid003,4/12/2020,728259
fid003,3/27/2020,784956
fid003,2/14/2020,738171
fid003,5/9/2020,529029
fid003,5/21/2020,579981
fid003,2/28/2020,698206
fid003,5/20/2020,599779
fid003,2/29/2020,741646
fid003,2/1/2020,758207
fid003,5/8/2020,530598
fid003,2/15/2020,714006
fid003,2/3/2020,686707
fid003,2/17/2020,689422
fid003,5/22/2020,600835
fid003,5/23/2020,510020
fid003,2/2/2020,689547
fid003,5/27/2020,598973
fid003,2/6/2020,706308
fid003,2/12/2020,717590
fid003,2/13/2020,741327
fid003,2/7/2020,738371
fid003,5/26/2020,526157
fid003,5/24/2020,570817
fid003,5/30/2020,529594
fid003,2/11/2020,759007
fid003,5/18/2020,524769
fid003,2/5/2020,744462
fid003,2/10/2020,695576
fid003,5/19/2020,588639
fid003,5/31/2020,526388
fid003,5/25/2020,535615
fid003,2/21/2020,727501
fid003,5/28/2020,545728
fid003,2/9/2020,707576
fid003,5/14/2020,507023
fid003,5/15/2020,508269
fid003,5/1/2020,548867
fid003,2/8/2020,710913
fid003,2/20/2020,824559
fid003,5/29/2020,580063
fid003,2/22/2020,748789
fid003,5/17/2020,572267
fid003,5/3/2020,522741
fid003,5/2/2020,529972
fid003,5/16/2020,534984
fid003,2/23/2020,723329
fid003,5/12/2020,583499
fid003,5/6/2020,565735
fid003,2/27/2020,751655
fid003,2/26/2020,722504
fid003,5/7/2020,541198
fid003,5/13/2020,583042
fid003,5/5/2020,566186
fid003,5/11/2020,549446
fid003,2/18/2020,717302
fid003,2/24/2020,679328
fid003,2/25/2020,729712
fid003,5/10/2020,596155
fid003,2/19/2020,738792
fid003,5/4/2020,547816
