region,date,value
fid001,5/2/2020,204425
fid001,5/16/2020,210156
fid001,2/23/2020,277556
fid001,2/22/2020,276278
fid001,5/17/2020,214045
fid001,5/3/2020,196426
fid001,5/15/2020,236145
fid001,2/8/2020,276555
fid001,5/1/2020,209029
fid001,5/29/2020,246414
fid001,2/20/2020,280485
fid001,5/28/2020,234217
fid001,2/21/2020,276263
fid001,2/9/2020,262515
fid001,5/14/2020,235847
fid001,2/25/2020,272080
fid001,2/19/2020,292105
fid001,5/10/2020,223862
fid001,5/4/2020,230921
fid001,5/5/2020,235562
fid001,2/18/2020,276181
fid001,5/11/2020,243919
fid001,2/24/2020,278927
fid001,2/26/2020,284963
fid001,5/7/2020,254283
fid001,5/13/2020,250321
fid001,5/12/2020,230473
fid001,5/6/2020,241639
fid001,2/27/2020,285067
fid002,5/23/2020,96632
fid002,2/2/2020,104947
fid002,2/3/2020,111002
fid002,2/17/2020,107213
fid002,5/22/2020,121126
fid002,2/29/2020,104624
fid002,5/20/2020,111116
fid002,5/8/2020,114376
fid002,2/1/2020,108170
fid002,2/15/2020,110464
fid002,2/14/2020,115631
fid002,5/9/2020,105557
fid002,2/28/2020,107058
fid002,5/21/2020,112137
fid002,5/19/2020,115502
fid002,2/10/2020,107423
fid002,5/31/2020,93157
fid002,5/25/2020,99856
fid002,5/24/2020,95829
fid002,5/30/2020,101965
fid002,5/18/2020,99957
fid002,2/11/2020,113187
fid002,2/5/2020,109054
fid002,2/13/2020,114250
fid002,2/7/2020,115981
fid002,5/26/2020,105142
fid002,5/27/2020,106490
fid002,2/6/2020,119246
fid002,2/12/2020,116242
fid002,4/28/2020,106173
fid002,3/21/2020,104135
fid002,4/14/2020,108443
fid002,3/9/2020,111115
fid002,3/8/2020,103772
fid002,4/1/2020,107672
fid002,4/15/2020,108302
fid002,4/29/2020,108386
fid002,3/20/2020,110222
fid002,3/22/2020,102896
fid002,4/3/2020,109592
fid002,4/17/2020,108121
fid002,4/16/2020,101459
fid002,4/2/2020,103857
fid002,3/23/2020,107038
fid002,4/6/2020,107757
fid002,4/12/2020,104046
fid002,3/27/2020,111661
fid002,3/26/2020,108024
fid002,4/13/2020,101977
fid002,4/7/2020,103077
fid002,3/18/2020,108859
fid002,4/11/2020,100816
fid002,4/5/2020,101632
fid002,3/24/2020,104910
fid002,3/30/2020,107520
fid002,3/31/2020,109681
fid002,3/25/2020,109627
fid002,4/4/2020,104060
fid002,3/19/2020,105408
fid002,4/10/2020,106055
fid002,4/9/2020,106575
fid002,3/14/2020,109961
fid002,3/28/2020,106817
fid002,4/21/2020,105926
fid002,3/29/2020,104543
fid002,4/20/2020,108387
fid002,3/15/2020,101873
fid002,4/8/2020,105768
fid002,3/17/2020,107531
fid002,3/3/2020,114723
fid002,4/22/2020,104381
fid002,4/23/2020,114973
fid002,3/2/2020,110732
fid002,3/16/2020,107701
fid002,4/27/2020,103163
fid002,3/6/2020,109354
fid002,3/7/2020,108553
fid002,3/13/2020,107148
fid002,4/26/2020,94951
fid002,4/30/2020,114157
fid002,4/24/2020,107622
fid002,3/5/2020,110468
fid002,4/18/2020,108376
fid002,4/19/2020,98884
fid002,4/25/2020,107508
fid002,5/2/2020,101974
fid002,5/16/2020,103778
fid002,2/23/2020,104587
fid002,2/22/2020,105210
fid002,5/17/2020,98487
fid002,5/3/2020,89783
fid002,5/15/2020,110349
fid002,2/8/2020,107636
fid002,5/1/2020,99686
fid002,5/29/2020,106873
fid002,2/20/2020,114718
fid002,5/28/2020,108241
fid002,2/21/2020,112567
fid002,2/9/2020,107430
fid002,5/14/2020,105484
fid002,2/25/2020,109334
fid002,2/19/2020,110209
fid002,5/10/2020,111660
fid002,5/4/2020,109030
fid002,5/5/2020,110218
fid002,2/18/2020,109650
fid002,5/11/2020,114274
fid002,2/24/2020,112417
fid002,2/26/2020,108834
fid002,5/7/2020,118528
fid002,5/13/2020,112957
fid002,5/12/2020,110561
fid002,5/6/2020,108487
fid002,2/27/2020,114298
fid003,5/23/2020,42141
fid003,2/2/2020,50891
fid003,2/3/2020,52653
fid003,2/17/2020,48042
fid003,5/22/2020,51703
fid003,2/29/2020,48276
fid003,5/20/2020,49618
fid003,5/8/2020,50317
fid003,2/1/2020,50633
fid003,2/15/2020,48990
fid003,2/14/2020,50624
fid003,5/9/2020,47518
fid003,2/28/2020,48422
fid003,5/21/2020,48565
fid003,5/19/2020,50032
fid003,2/10/2020,52841
fid003,5/31/2020,38944
fid003,5/25/2020,45410
fid003,5/24/2020,40602
fid003,5/30/2020,42375
fid003,5/18/2020,45482
fid003,2/11/2020,53073
fid003,2/5/2020,53239
fid003,2/13/2020,55899
fid003,2/7/2020,53823
fid003,5/26/2020,45852
fid003,5/27/2020,48753
fid003,2/6/2020,51411
fid003,2/12/2020,50994
fid003,4/28/2020,47161
fid003,3/21/2020,47760
fid003,4/14/2020,46425
fid003,3/9/2020,50974
fid003,3/8/2020,45221
fid003,4/1/2020,51306
fid003,4/15/2020,51787
fid003,4/29/2020,51633
fid003,3/20/2020,51575
fid003,3/22/2020,47232
fid003,4/3/2020,49390
fid003,4/17/2020,48958
fid003,4/16/2020,46239
fid003,4/2/2020,49610
fid003,3/23/2020,46686
fid003,4/6/2020,49992
fid003,4/12/2020,44466
fid003,3/27/2020,45795
fid003,3/26/2020,49111
fid003,4/13/2020,43481
fid003,4/7/2020,46924
fid003,3/18/2020,48571
fid003,4/11/2020,40557
fid003,4/5/2020,47432
fid003,3/24/2020,46712
fid003,3/30/2020,48347
fid003,3/31/2020,49680
fid003,3/25/2020,48101
fid003,4/4/2020,47730
fid003,3/19/2020,50244
fid003,4/10/2020,46495
fid003,4/9/2020,46276
fid003,3/14/2020,47671
fid003,3/28/2020,46635
fid003,4/21/2020,47811
fid003,3/29/2020,46796
fid003,4/20/2020,51261
fid003,3/15/2020,45878
fid003,4/8/2020,46060
fid003,3/17/2020,53246
fid003,3/3/2020,49809
fid003,4/22/2020,49458
fid003,4/23/2020,49274
fid003,3/2/2020,53146
fid003,3/16/2020,48977
fid003,4/27/2020,46281
fid003,3/6/2020,50659
fid003,3/7/2020,49212
fid003,3/13/2020,47917
fid003,4/26/2020,41336
fid003,4/30/2020,51624
fid003,4/24/2020,46136
fid003,3/5/2020,50432
fid003,4/18/2020,47452
fid003,4/19/2020,42140
fid003,4/25/2020,49904
fid003,5/2/2020,40277
fid003,5/16/2020,43064
fid003,2/23/2020,49204
fid003,2/22/2020,50401
fid003,5/17/2020,38389
fid003,5/3/2020,38327
fid003,5/15/2020,47788
fid003,2/8/2020,49790
fid003,5/1/2020,42642
fid003,5/29/2020,50146
fid003,2/20/2020,57478
fid003,5/28/2020,46211
fid003,2/21/2020,54445
fid003,2/9/2020,48585
fid003,5/14/2020,49414
fid003,2/25/2020,52647
fid003,2/19/2020,53978
fid003,5/10/2020,47574
fid003,5/4/2020,47189
fid003,5/5/2020,50276
fid003,2/18/2020,51993
fid003,5/11/2020,48246
fid003,2/24/2020,52174
fid003,2/26/2020,51697
fid003,5/7/2020,53828
fid003,5/13/2020,49981
fid003,5/12/2020,48283
fid003,5/6/2020,52003
fid003,2/27/2020,55080
fid004,5/23/2020,112425
fid004,2/2/2020,140204
fid004,2/3/2020,148119
fid004,2/17/2020,150893
fid004,5/22/2020,137336
fid004,2/29/2020,143689
fid004,5/20/2020,138259
fid004,5/8/2020,128953
fid004,2/1/2020,154912
fid004,2/15/2020,151345
fid004,2/14/2020,152216
fid004,5/9/2020,129437
fid004,2/28/2020,141153
fid004,5/21/2020,129647
fid004,5/19/2020,126517
fid004,2/10/2020,150121
fid004,5/31/2020,111178
fid004,5/25/2020,117382
fid004,5/24/2020,112802
fid004,5/30/2020,116617
fid004,5/18/2020,118076
fid004,2/11/2020,157387
fid004,2/5/2020,149929
fid004,2/13/2020,156142
fid004,2/7/2020,155923
fid004,5/26/2020,123586
fid004,5/27/2020,129324
fid004,2/6/2020,149340
fid004,2/12/2020,154841
fid004,4/28/2020,118957
fid004,3/21/2020,125507
fid004,4/14/2020,125849
fid004,3/9/2020,144462
fid004,3/8/2020,128489
fid004,4/1/2020,129899
fid004,4/15/2020,127182
fid004,4/29/2020,128855
fid004,3/20/2020,132643
fid004,3/22/2020,121012
fid004,4/3/2020,125963
fid004,4/17/2020,121192
fid004,4/16/2020,118501
fid004,4/2/2020,124237
fid004,3/23/2020,126192
fid004,4/6/2020,118764
fid004,4/12/2020,110668
fid004,3/27/2020,132369
fid004,3/26/2020,133654
fid004,4/13/2020,121099
fid004,4/7/2020,126593
fid004,3/18/2020,128463
fid004,4/11/2020,117051
fid004,4/5/2020,116279
fid004,3/24/2020,130705
fid004,3/30/2020,136279
fid004,3/31/2020,122832
fid004,3/25/2020,133260
fid004,4/4/2020,126965
fid004,3/19/2020,131479
fid004,4/10/2020,124651
fid004,4/9/2020,119384
fid004,3/14/2020,140267
fid004,3/28/2020,130704
fid004,4/21/2020,127029
fid004,3/29/2020,130583
fid004,4/20/2020,121661
fid004,3/15/2020,124394
fid004,4/8/2020,121887
fid004,3/17/2020,135640
fid004,3/3/2020,133976
fid004,4/22/2020,116944
fid004,4/23/2020,130168
fid004,3/2/2020,140494
fid004,3/16/2020,136084
fid004,4/27/2020,115652
fid004,3/6/2020,145180
fid004,3/7/2020,146607
fid004,3/13/2020,134960
fid004,4/26/2020,106844
fid004,4/30/2020,129432
fid004,4/24/2020,122226
fid004,3/5/2020,140195
fid004,4/18/2020,118497
fid004,4/19/2020,105879
fid004,4/25/2020,118799
fid004,5/2/2020,112346
fid004,5/16/2020,117479
fid004,2/23/2020,138930
fid004,2/22/2020,146590
fid004,5/17/2020,112400
fid004,5/3/2020,112452
fid004,5/15/2020,137221
fid004,2/8/2020,150529
fid004,5/1/2020,117255
fid004,5/29/2020,135894
fid004,2/20/2020,157075
fid004,5/28/2020,127265
fid004,2/21/2020,150455
fid004,2/9/2020,151174
fid004,5/14/2020,130571
fid004,2/25/2020,141482
fid004,2/19/2020,154545
fid004,5/10/2020,120781
fid004,5/4/2020,130407
fid004,5/5/2020,127802
fid004,2/18/2020,144351
fid004,5/11/2020,128746
fid004,2/24/2020,145657
fid004,2/26/2020,137774
fid004,5/7/2020,138062
fid004,5/13/2020,132971
fid004,5/12/2020,127300
fid004,5/6/2020,138043
fid004,2/27/2020,147772
fid005,5/23/2020,133869
fid005,2/2/2020,143507
fid005,2/3/2020,147974
fid005,2/17/2020,141640
fid005,5/22/2020,150914
fid005,2/29/2020,150369
fid005,5/20/2020,144774
fid005,5/8/2020,156923
fid005,2/1/2020,158181
fid005,2/15/2020,154734
fid005,2/14/2020,156660
fid005,5/9/2020,145143
fid005,2/28/2020,143140
fid005,5/21/2020,149354
fid005,5/19/2020,144864
fid005,2/10/2020,145235
fid005,5/31/2020,134903
fid005,5/25/2020,134305
fid005,5/24/2020,119273
fid005,5/30/2020,132868
fid005,5/18/2020,127285
fid005,2/11/2020,151763
fid005,2/5/2020,149438
fid005,2/13/2020,155389
fid005,2/7/2020,150290
fid005,5/26/2020,130843
fid005,5/27/2020,137715
fid005,2/6/2020,148859
fid005,2/12/2020,150904
fid005,4/28/2020,141788
fid005,3/21/2020,145224
fid005,4/14/2020,138033
fid005,3/9/2020,147304
fid005,3/8/2020,144566
fid005,4/1/2020,144175
fid005,4/15/2020,137937
fid005,4/29/2020,147545
fid005,3/20/2020,157781
fid005,3/22/2020,142027
fid005,4/3/2020,140405
fid005,4/17/2020,143737
fid005,4/16/2020,139344
fid005,4/2/2020,142439
fid005,3/23/2020,138614
fid005,4/6/2020,140874
fid005,4/12/2020,129552
fid005,3/27/2020,147366
fid005,3/26/2020,144168
fid005,4/13/2020,139411
fid005,4/7/2020,140112
fid005,3/18/2020,149502
fid005,4/11/2020,127041
fid005,4/5/2020,133629
fid005,3/24/2020,144105
fid005,3/30/2020,151278
fid005,3/31/2020,135317
fid005,3/25/2020,139878
fid005,4/4/2020,144732
fid005,3/19/2020,149902
fid005,4/10/2020,137398
fid005,4/9/2020,140438
fid005,3/14/2020,158162
fid005,3/28/2020,145223
fid005,4/21/2020,142377
fid005,3/29/2020,149051
fid005,4/20/2020,141214
fid005,3/15/2020,137593
fid005,4/8/2020,141754
fid005,3/17/2020,150324
fid005,3/3/2020,141678
fid005,4/22/2020,136188
fid005,4/23/2020,152317
fid005,3/2/2020,147838
fid005,3/16/2020,144693
fid005,4/27/2020,132779
fid005,3/6/2020,154140
fid005,3/7/2020,147588
fid005,3/13/2020,147812
fid005,4/26/2020,123291
fid005,4/30/2020,143120
fid005,4/24/2020,130905
fid005,3/5/2020,144268
fid005,4/18/2020,140879
fid005,4/19/2020,129783
fid005,4/25/2020,145138
fid005,5/2/2020,132086
fid005,5/16/2020,134076
fid005,2/23/2020,139074
fid005,2/22/2020,143371
fid005,5/17/2020,128867
fid005,5/3/2020,132329
fid005,5/15/2020,150129
fid005,2/8/2020,156010
fid005,5/1/2020,134020
fid005,5/29/2020,151570
fid005,2/20/2020,153963
fid005,5/28/2020,134708
fid005,2/21/2020,145429
fid005,2/9/2020,139438
fid005,5/14/2020,144061
fid005,2/25/2020,141629
fid005,2/19/2020,153923
fid005,5/10/2020,133495
fid005,5/4/2020,141227
fid005,5/5/2020,145303
fid005,2/18/2020,141188
fid005,5/11/2020,141382
fid005,2/24/2020,142543
fid005,2/26/2020,139781
fid005,5/7/2020,156991
fid005,5/13/2020,149949
fid005,5/12/2020,137228
fid005,5/6/2020,149652
fid005,2/27/2020,146413
fid006,5/23/2020,482306
fid006,2/2/2020,580693
fid006,2/3/2020,610151
fid006,2/17/2020,628155
fid006,5/22/2020,579918
fid006,2/29/2020,552854
fid006,5/20/2020,544381
fid006,5/8/2020,539979
fid006,2/1/2020,603019
fid006,2/15/2020,605237
fid006,2/14/2020,638800
fid006,5/9/2020,531856
fid006,2/28/2020,589076
fid006,5/21/2020,534386
fid006,5/19/2020,543274
fid006,2/10/2020,619283
fid006,5/31/2020,469151
fid006,5/25/2020,474171
fid006,5/24/2020,452494
fid006,5/30/2020,492564
fid006,5/18/2020,503948
fid006,2/11/2020,646827
fid006,2/5/2020,602021
fid006,2/13/2020,644412
fid006,2/7/2020,636546
fid006,5/26/2020,530251
fid006,5/27/2020,549938
fid006,2/6/2020,623699
fid006,2/12/2020,628158
fid006,4/28/2020,525368
fid006,3/21/2020,562368
fid006,4/14/2020,504425
fid006,3/9/2020,558930
fid006,3/8/2020,523048
fid006,4/1/2020,508251
fid006,4/15/2020,503928
fid006,4/29/2020,564151
fid006,3/20/2020,573967
fid006,3/22/2020,511085
fid006,4/3/2020,495610
fid006,4/17/2020,479252
fid006,4/16/2020,480696
fid006,4/2/2020,502190
fid006,3/23/2020,563884
fid006,4/6/2020,534131
fid006,4/12/2020,487096
fid006,3/27/2020,589679
fid006,3/26/2020,595510
fid006,4/13/2020,479221
fid006,4/7/2020,508444
fid006,3/18/2020,552769
fid006,4/11/2020,485135
fid006,4/5/2020,479558
fid006,3/24/2020,564283
fid006,3/30/2020,552200
fid006,3/31/2020,519578
fid006,3/25/2020,588728
fid006,4/4/2020,504648
fid006,3/19/2020,540621
fid006,4/10/2020,492147
fid006,4/9/2020,539669
fid006,3/14/2020,536971
fid006,3/28/2020,586750
fid006,4/21/2020,543294
fid006,3/29/2020,560867
fid006,4/20/2020,538127
fid006,3/15/2020,519680
fid006,4/8/2020,485551
fid006,3/17/2020,560012
fid006,3/3/2020,546122
fid006,4/22/2020,523886
fid006,4/23/2020,533577
fid006,3/2/2020,557799
fid006,3/16/2020,588271
fid006,4/27/2020,489219
fid006,3/6/2020,567080
fid006,3/7/2020,565557
fid006,3/13/2020,552308
fid006,4/26/2020,437362
fid006,4/30/2020,530137
fid006,4/24/2020,521716
fid006,3/5/2020,559298
fid006,4/18/2020,486594
fid006,4/19/2020,450421
fid006,4/25/2020,544312
fid006,5/2/2020,468357
fid006,5/16/2020,479101
fid006,2/23/2020,610396
fid006,2/22/2020,598474
fid006,5/17/2020,461439
fid006,5/3/2020,476334
fid006,5/15/2020,575289
fid006,2/8/2020,599165
fid006,5/1/2020,494347
fid006,5/29/2020,541921
fid006,2/20/2020,626285
fid006,5/28/2020,530576
fid006,2/21/2020,619077
fid006,2/9/2020,606337
fid006,5/14/2020,510039
fid006,2/25/2020,621066
fid006,2/19/2020,623637
fid006,5/10/2020,493535
fid006,5/4/2020,547770
fid006,5/5/2020,559111
fid006,2/18/2020,615327
fid006,5/11/2020,561557
fid006,2/24/2020,614412
fid006,2/26/2020,611656
fid006,5/7/2020,587044
fid006,5/13/2020,528057
fid006,5/12/2020,536061
fid006,5/6/2020,556097
fid006,2/27/2020,606032
fid007,5/23/2020,22908
fid007,2/2/2020,27808
fid007,2/3/2020,28703
fid007,2/17/2020,27101
fid007,5/22/2020,27183
fid007,2/29/2020,27395
fid007,5/20/2020,24852
fid007,5/8/2020,24915
fid007,2/1/2020,29262
fid007,2/15/2020,27202
fid007,2/14/2020,28269
fid007,5/9/2020,26096
fid007,2/28/2020,25764
fid007,5/21/2020,26099
fid007,5/19/2020,25446
fid007,2/10/2020,29523
fid007,5/31/2020,23623
fid007,5/25/2020,23649
fid007,5/24/2020,21799
fid007,5/30/2020,23980
fid007,5/18/2020,22627
fid007,2/11/2020,31210
fid007,2/5/2020,29769
fid007,2/13/2020,29512
fid007,2/7/2020,30701
fid007,5/26/2020,26247
fid007,5/27/2020,24305
fid007,2/6/2020,30010
fid007,2/12/2020,26499
fid007,4/28/2020,25773
fid007,3/21/2020,26257
fid007,4/14/2020,25273
fid007,3/9/2020,28449
fid007,3/8/2020,27092
fid007,4/1/2020,26139
fid007,4/15/2020,25674
fid007,4/29/2020,26859
fid007,3/20/2020,28369
fid007,3/22/2020,25745
fid007,4/3/2020,25733
fid007,4/17/2020,25868
fid007,4/16/2020,25921
fid007,4/2/2020,26304
fid007,3/23/2020,26816
fid007,4/6/2020,25601
fid007,4/12/2020,25042
fid007,3/27/2020,26775
fid007,3/26/2020,28095
fid007,4/13/2020,25204
fid007,4/7/2020,25627
fid007,3/18/2020,27768
fid007,4/11/2020,24562
fid007,4/5/2020,22977
fid007,3/24/2020,25353
fid007,3/30/2020,27960
fid007,3/31/2020,26431
fid007,3/25/2020,25783
fid007,4/4/2020,24855
fid007,3/19/2020,23773
fid007,4/10/2020,24018
fid007,4/9/2020,24345
fid007,3/14/2020,26187
fid007,3/28/2020,25772
fid007,4/21/2020,27617
fid007,3/29/2020,25397
fid007,4/20/2020,27164
fid007,3/15/2020,25517
fid007,4/8/2020,24919
fid007,3/17/2020,27754
fid007,3/3/2020,25877
fid007,4/22/2020,27750
fid007,4/23/2020,29333
fid007,3/2/2020,28210
fid007,3/16/2020,24339
fid007,4/27/2020,24312
fid007,3/6/2020,27973
fid007,3/7/2020,28199
fid007,3/13/2020,25841
fid007,4/26/2020,21691
fid007,4/30/2020,26798
fid007,4/24/2020,25245
fid007,3/5/2020,27120
fid007,4/18/2020,26700
fid007,4/19/2020,22791
fid007,4/25/2020,24872
fid007,5/2/2020,22994
fid007,5/16/2020,23795
fid007,2/23/2020,26933
fid007,2/22/2020,29365
fid007,5/17/2020,22023
fid007,5/3/2020,21647
fid007,5/15/2020,26224
fid007,2/8/2020,28588
fid007,5/1/2020,24683
fid007,5/29/2020,26457
fid007,2/20/2020,30221
fid007,5/28/2020,23949
fid007,2/21/2020,27649
fid007,2/9/2020,27795
fid007,5/14/2020,25270
fid007,2/25/2020,27788
fid007,2/19/2020,27466
fid007,5/10/2020,39268
fid007,5/4/2020,26390
fid007,5/5/2020,28144
fid007,2/18/2020,26844
fid007,5/11/2020,27673
fid007,2/24/2020,27564
fid007,2/26/2020,28457
fid007,5/7/2020,28325
fid007,5/13/2020,26742
fid007,5/12/2020,26923
fid007,5/6/2020,28142
fid007,2/27/2020,30451
fid008,5/23/2020,95160
fid008,2/2/2020,115206
fid008,2/3/2020,119862
fid008,2/17/2020,110321
fid008,5/22/2020,114903
fid008,2/29/2020,114058
fid008,5/20/2020,105995
fid008,5/8/2020,111778
fid008,2/1/2020,117242
fid008,2/15/2020,112082
fid008,2/14/2020,120203
fid008,5/9/2020,107030
fid008,2/28/2020,103246
fid008,5/21/2020,103529
fid008,5/19/2020,105206
fid008,2/10/2020,115861
fid008,5/31/2020,85104
fid008,5/25/2020,87321
fid008,5/24/2020,88303
fid008,5/30/2020,99013
fid008,5/18/2020,96063
fid008,2/11/2020,124365
fid008,2/5/2020,120985
fid008,2/13/2020,119280
fid008,2/7/2020,119270
fid008,5/26/2020,107137
fid008,5/27/2020,107398
fid008,2/6/2020,113290
fid008,2/12/2020,114871
fid008,4/28/2020,101279
fid008,3/21/2020,105114
fid008,4/14/2020,102455
fid008,3/9/2020,116803
fid008,3/8/2020,104752
fid008,4/1/2020,104922
fid008,4/15/2020,107198
fid008,4/29/2020,112000
fid008,3/20/2020,108418
fid008,3/22/2020,105288
fid008,4/3/2020,107204
fid008,4/17/2020,108565
fid008,4/16/2020,96743
fid008,4/2/2020,103413
fid008,3/23/2020,112851
fid008,4/6/2020,101796
fid008,4/12/2020,98506
fid008,3/27/2020,113362
fid008,3/26/2020,108507
fid008,4/13/2020,103216
fid008,4/7/2020,103493
fid008,3/18/2020,98184
